chromosome,bp_min,bp_max,num_nodes,num_links,num_gendered_links,num_married,num_married_within_slice,num_married_ibd_links
1,54508231,55180031,9045,577,272,1246,1481,0
1,55180031,56780739,8729,476,220,1246,1413,1
1,56780739,57257346,8396,393,181,1246,1324,1
1,57257346,58076072,9054,499,246,1246,1490,1
1,58076072,58982723,8887,463,223,1246,1454,1
1,58982723,59701989,8390,385,190,1246,1369,1
1,59701989,61480983,8170,339,170,1246,1326,1
1,61480983,61845511,6939,251,131,1246,1112,1
1,61845511,63255998,7702,317,167,1246,1249,0
1,63255998,64245352,7160,284,144,1246,1153,0
1,64245352,65235535,7573,326,169,1246,1229,1
1,65235535,67052609,8931,505,258,1246,1428,1
1,67052609,67892211,9112,546,283,1246,1472,1
1,67892211,68829929,9846,604,316,1246,1598,1
1,68829929,70413690,8899,431,228,1246,1436,1
1,70413690,70415674,7568,298,162,1246,1225,1
1,70415674,71912414,8474,374,204,1246,1381,1
1,71912414,75760822,8796,413,226,1246,1426,1
1,75760822,75763491,6888,257,136,1246,1118,0
1,75763491,76848492,7370,290,155,1246,1194,0
1,76848492,78902645,8052,362,176,1246,1302,0
1,78902645,78905136,6747,259,124,1246,1107,0
1,78905136,80823284,8025,386,192,1246,1316,0
1,80823284,81773300,7630,354,174,1246,1226,0
1,81773300,83282363,7313,324,162,1246,1198,0
1,83282363,85511325,6945,237,115,1246,1149,0
1,85511325,87000141,6495,206,101,1246,1047,0
1,87000141,88522781,7718,304,152,1246,1244,0
1,88522781,89840340,7465,296,148,1246,1186,0
1,89840340,91355678,8476,388,198,1246,1355,0
1,91355678,93443773,8129,384,193,1246,1310,0
1,93443773,95259174,7598,336,174,1246,1227,0
1,95259174,97926839,7183,287,141,1246,1162,0
1,97926839,99780284,6796,247,116,1246,1116,0
1,99780284,101262481,6868,244,115,1246,1122,1
1,101262481,103071512,8027,380,192,1246,1333,3
1,103071512,105495271,7857,396,192,1246,1289,3
1,105495271,107472951,7988,420,205,1246,1338,3
1,107472951,109023455,8068,381,192,1246,1358,3
1,109023455,110061424,6794,285,153,1246,1161,2
1,110061424,111035174,7412,317,168,1246,1239,2
1,111035174,112241349,7926,355,177,1246,1285,1
1,112241349,113101520,8009,356,173,1246,1314,1
1,113101520,114937058,9187,473,229,1246,1503,1
1,114937058,116233410,8052,357,179,1246,1331,2
1,116233410,117241202,7812,330,169,1246,1289,2
1,117241202,119297191,7731,311,155,1246,1286,2
1,119297191,142649718,7692,379,179,1246,1253,2
1,142649718,148872257,10895,1946,930,1246,1770,3
1,148872257,150039207,10567,1911,913,1246,1733,2
1,150039207,150092918,9840,1767,846,1246,1621,2
1,150092918,152691860,10364,1831,881,1246,1718,2
1,152691860,154689894,9075,794,382,1246,1499,1
1,154689894,155947635,8380,499,231,1246,1398,1
1,155947635,156959913,8914,567,266,1246,1488,1
1,156959913,158224059,9467,621,289,1246,1573,1
1,158224059,158977712,8681,468,218,1246,1424,1
1,158977712,159837012,8705,448,204,1246,1426,1
1,159837012,160623094,8034,369,178,1246,1335,2
1,160623094,161442861,7811,404,210,1246,1278,2
1,161442861,162458412,8200,432,225,1246,1341,2
1,162458412,162472565,7001,340,175,1246,1159,2
1,162472565,163348127,7434,364,189,1246,1215,2
1,163348127,164599568,10128,959,470,1246,1642,2
1,164599568,164877993,11166,1585,792,1246,1838,2
1,164877993,165150126,11126,1566,781,1246,1820,2
1,165150126,166533099,11389,1513,766,1246,1867,2
1,166533099,167376074,7204,256,128,1246,1157,1
1,167376074,168327555,7791,297,146,1246,1235,0
1,168327555,169327241,9290,811,398,1246,1521,0
1,169327241,170357994,9903,924,441,1246,1646,0
1,170357994,171251196,9964,936,447,1246,1657,0
1,171251196,173712244,9390,568,259,1246,1545,0
1,173712244,175656150,7660,276,134,1246,1242,0
1,175656150,177465289,7465,265,127,1246,1231,0
1,177465289,179929763,7390,248,108,1246,1207,0
1,179929763,181433468,9436,588,272,1246,1551,0
1,181433468,182231692,9935,714,337,1246,1623,0
1,182231692,183401794,10140,748,353,1246,1658,0
1,183401794,184705437,9313,556,265,1246,1527,0
1,184705437,187300501,8055,313,145,1246,1286,0
1,187300501,189583435,8003,303,158,1246,1283,0
1,189583435,192430912,8811,472,233,1246,1429,1
1,192430912,193429679,9167,542,256,1246,1461,1
1,193429679,195070577,9049,532,258,1246,1450,1
1,195070577,198760554,8918,466,212,1246,1425,1
1,198760554,200635550,8111,377,181,1246,1334,0
1,200635550,201246227,8566,487,233,1246,1412,0
1,201246227,201782071,10454,1017,482,1246,1700,2
1,201782071,202364505,10550,1062,513,1246,1695,2
1,202364505,203025583,9813,917,449,1246,1566,2
1,203025583,203551036,9390,632,314,1246,1505,2
1,203551036,204738360,7980,369,198,1246,1320,1
1,204738360,205602553,7935,507,280,1246,1330,0
1,205602553,206601326,8198,612,336,1246,1353,0
1,206601326,207752389,8223,600,326,1246,1347,0
1,207752389,208828151,8313,523,275,1246,1349,0
1,208828151,209544263,7378,317,168,1246,1182,0
1,209544263,210801686,8325,377,201,1246,1345,0
1,210801686,212534448,7986,310,164,1246,1284,0
1,212534448,213685950,7823,309,159,1246,1259,0
1,213685950,214741309,8277,358,184,1246,1349,0
1,214741309,216317449,8651,475,241,1246,1448,0
1,216317449,216327213,7662,404,208,1246,1290,0
1,216327213,216877492,8574,467,244,1246,1426,0
1,216877492,217450293,8517,445,234,1246,1431,0
1,217450293,218893464,8301,365,185,1246,1402,1
1,218893464,220962328,7182,241,126,1246,1231,2
1,220962328,223110870,7051,226,119,1246,1188,2
1,223110870,225109041,7822,354,173,1246,1297,2
1,225109041,227144996,8323,399,187,1246,1334,2
1,227144996,228666819,7840,367,175,1246,1240,1
1,228666819,230412111,8378,392,193,1246,1330,1
1,230412111,231433978,7957,343,166,1246,1247,0
1,231433978,232261532,8438,484,230,1246,1366,0
1,232261532,232847563,8742,517,254,1246,1415,1
1,232847563,232867727,7265,360,177,1246,1168,1
1,232867727,233707821,7932,399,196,1246,1272,1
1,233707821,234528087,7525,322,162,1246,1235,1
1,234528087,235025575,8990,731,353,1246,1473,1
1,235025575,235322000,9876,935,458,1246,1607,2
1,235322000,236189278,10001,952,465,1246,1630,2
1,236189278,236666575,9224,667,332,1246,1473,2
1,236666575,237283740,8258,396,202,1246,1343,2
1,237283740,237890437,8408,529,266,1246,1384,2
1,237890437,238509373,9017,672,336,1246,1463,1
1,238509373,239115758,10168,875,428,1246,1657,1
1,239115758,239832351,9771,730,359,1246,1598,1
1,239832351,240417551,8651,452,213,1246,1415,1
1,240417551,240845574,7810,315,142,1246,1285,1
1,240845574,241574867,6883,258,124,1246,1134,1
1,241574867,242063452,7515,347,184,1246,1243,2
1,242063452,242736953,8415,535,265,1246,1418,2
1,242736953,243409289,8226,506,250,1246,1383,2
1,243409289,244454832,9179,684,327,1246,1534,2
1,244454832,244791824,7943,546,244,1246,1330,1
1,244791824,245129068,8509,587,272,1246,1417,1
1,245129068,245464740,8051,464,214,1246,1332,2
1,245464740,246141157,9623,774,407,1246,1599,2
1,246141157,246923861,9627,849,454,1246,1599,3
1,246923861,247715687,11925,2497,1291,1246,1960,3
1,247715687,248431939,11597,2632,1345,1246,1900,3
1,248431939,249145638,10687,2401,1221,1246,1757,3
2,14238,1105961,5485,149,83,1246,885,0
2,1105961,2178352,6790,213,119,1246,1117,0
2,2178352,2789513,8325,320,177,1246,1373,0
2,2789513,3416562,7733,286,151,1246,1268,0
2,3416562,4028212,7789,295,155,1246,1272,1
2,4028212,4654356,7567,267,132,1246,1226,1
2,4654356,5330188,7420,272,129,1246,1215,1
2,5330188,5961696,8238,371,177,1246,1339,1
2,5961696,6581604,7865,366,178,1246,1292,0
2,6581604,7136981,9482,614,310,1246,1548,0
2,7136981,7533435,8623,533,272,1246,1407,1
2,7533435,7996884,8793,534,274,1246,1415,1
2,7996884,8406260,7658,360,182,1246,1244,1
2,8406260,8700207,7743,367,181,1246,1265,2
2,8700207,9696564,8739,502,265,1246,1401,1
2,9696564,9930834,8676,495,255,1246,1399,1
2,9930834,10522103,8808,472,244,1246,1395,1
2,10522103,11152503,7862,296,151,1246,1238,2
2,11152503,11817474,8698,408,198,1246,1401,1
2,11817474,12265210,9381,593,294,1246,1520,1
2,12265210,12779813,9469,605,296,1246,1538,1
2,12779813,13573910,8835,528,258,1246,1455,1
2,13573910,15441821,9181,509,249,1246,1509,1
2,15441821,16014356,7441,316,158,1246,1234,2
2,16014356,16574383,7587,319,159,1246,1243,1
2,16574383,18309796,7425,318,157,1246,1233,1
2,18309796,19512584,7858,393,199,1246,1304,1
2,19512584,20255900,8266,430,206,1246,1373,1
2,20255900,21184545,8989,498,227,1246,1466,0
2,21184545,22562283,7779,327,151,1246,1239,0
2,22562283,23620246,7744,315,141,1246,1235,0
2,23620246,26173503,8001,339,170,1246,1294,0
2,26173503,26174103,6632,249,124,1246,1081,0
2,26174103,27623768,7362,294,147,1246,1208,0
2,27623768,29785417,8238,354,183,1246,1335,1
2,29785417,30486058,7272,260,142,1246,1153,1
2,30486058,31352655,7166,244,135,1246,1109,2
2,31352655,33572555,6936,214,118,1246,1091,3
2,33572555,34410890,7321,245,136,1246,1167,2
2,34410890,34411774,6419,207,118,1246,1036,2
2,34411774,35688500,7602,298,165,1246,1221,2
2,35688500,36889773,8034,347,185,1246,1305,2
2,36889773,37982662,8253,390,206,1246,1333,1
2,37982662,38862022,7622,330,173,1246,1242,1
2,38862022,38890473,6583,254,129,1246,1094,1
2,38890473,40965566,7404,306,163,1246,1253,1
2,40965566,42520579,7674,301,142,1246,1260,0
2,42520579,43599252,7611,309,139,1246,1232,0
2,43599252,44852703,7540,296,132,1246,1205,0
2,44852703,45926425,7359,269,116,1246,1173,0
2,45926425,46534220,6021,171,87,1246,964,1
2,46534220,48356453,6418,159,84,1246,1021,1
2,48356453,50153180,6715,207,104,1246,1083,1
2,50153180,52003443,6944,222,114,1246,1112,1
2,52003443,54904463,8202,364,189,1246,1331,1
2,54904463,56681512,8483,476,257,1246,1374,1
2,56681512,58166181,8345,482,260,1246,1336,0
2,58166181,60438139,8784,517,278,1246,1422,0
2,60438139,62606753,7642,356,203,1246,1267,0
2,62606753,62638839,6303,246,139,1246,1024,0
2,62638839,65093888,7658,325,170,1246,1249,0
2,65093888,65810588,7738,353,180,1246,1263,0
2,65810588,66783128,8270,435,224,1246,1330,0
2,66783128,67854531,7860,372,190,1246,1257,0
2,67854531,67858210,6798,305,160,1246,1111,0
2,67858210,69044528,8076,388,197,1246,1314,0
2,69044528,70825231,9529,756,371,1246,1526,2
2,70825231,71368519,10157,984,492,1246,1654,2
2,71368519,71899180,10264,1007,498,1246,1666,2
2,71899180,73678616,9954,788,409,1246,1627,1
2,73678616,74779381,7857,361,183,1246,1292,0
2,74779381,76284250,7480,295,145,1246,1228,0
2,76284250,78132436,6164,173,92,1246,981,0
2,78132436,79620754,6784,224,109,1246,1089,0
2,79620754,80344355,8855,661,338,1246,1435,0
2,80344355,82191099,9953,823,416,1246,1632,0
2,82191099,82446862,9384,776,395,1246,1542,0
2,82446862,85333976,10687,1139,585,1246,1755,0
2,85333976,85861325,9604,759,401,1246,1557,0
2,85861325,85866577,8729,641,338,1246,1440,0
2,85866577,88178451,9865,777,406,1246,1615,1
2,88178451,96561651,8626,476,249,1246,1393,3
2,96561651,96850885,7566,361,186,1246,1206,3
2,96850885,100342811,8553,420,222,1246,1364,3
2,100342811,102045328,8702,423,210,1246,1407,3
2,102045328,104093800,7686,293,138,1246,1216,2
2,104093800,105914443,7208,261,119,1246,1164,2
2,105914443,105918939,5670,166,83,1246,911,2
2,105918939,107425876,8459,425,212,1246,1383,2
2,107425876,108711926,8769,500,257,1246,1450,2
2,108711926,111410840,9089,549,284,1246,1509,3
2,111410840,112469594,8107,421,221,1246,1362,2
2,112469594,114665581,7438,334,181,1246,1265,2
2,114665581,116472940,7087,289,152,1246,1222,2
2,116472940,119148186,6651,249,138,1246,1162,2
2,119148186,121307338,8072,379,193,1246,1375,2
2,121307338,121603940,8805,591,306,1246,1437,2
2,121603940,122159694,10196,784,405,1246,1625,1
2,122159694,123039255,9613,698,357,1246,1527,1
2,123039255,124990556,11881,2502,1275,1246,1924,2
2,124990556,126554422,11703,2508,1258,1246,1917,2
2,126554422,127419725,11390,2461,1241,1246,1877,1
2,127419725,128591365,10706,1286,660,1246,1764,1
2,128591365,130005542,9051,513,251,1246,1510,1
2,130005542,131479885,8159,411,204,1246,1386,1
2,131479885,132764931,7811,383,189,1246,1320,1
2,132764931,132838116,6899,325,164,1246,1155,1
2,132838116,134311186,8044,480,227,1246,1345,1
2,134311186,135008432,6705,412,190,1246,1113,0
2,135008432,135010908,5883,370,177,1246,977,0
2,135010908,137704726,7253,561,266,1246,1195,0
2,137704726,139208680,6807,499,242,1246,1086,0
2,139208680,139210851,6004,381,186,1246,952,0
2,139210851,141398489,7556,467,232,1246,1210,0
2,141398489,143118816,8511,436,222,1246,1385,0
2,143118816,143121279,7588,315,166,1246,1221,0
2,143121279,144565301,8680,407,210,1246,1415,0
2,144565301,145527778,8555,422,213,1246,1403,0
2,145527778,149073122,9006,467,234,1246,1474,0
2,149073122,150184523,8226,379,186,1246,1339,0
2,150184523,152129879,8285,369,182,1246,1337,0
2,152129879,154173861,8162,354,164,1246,1299,1
2,154173861,155626616,9413,645,318,1246,1492,1
2,155626616,157236981,9233,640,315,1246,1453,1
2,157236981,159041863,9038,618,310,1246,1441,1
2,159041863,162203702,6770,258,138,1246,1087,0
2,162203702,165834757,6791,244,138,1246,1118,0
2,165834757,168073830,6898,254,141,1246,1127,1
2,168073830,169225836,7510,278,159,1246,1228,1
2,169225836,170228605,7906,293,171,1246,1305,1
2,170228605,171252895,7613,287,163,1246,1249,1
2,171252895,172145846,7932,337,180,1246,1304,0
2,172145846,173500426,7669,307,159,1246,1275,0
2,173500426,174541561,8037,369,196,1246,1308,0
2,174541561,176183178,7955,328,176,1246,1310,0
2,176183178,177255149,7564,301,151,1246,1229,0
2,177255149,177257660,6994,262,130,1246,1134,0
2,177257660,178366805,7687,299,148,1246,1252,0
2,178366805,182226778,7889,281,147,1246,1279,0
2,182226778,183606407,6548,205,108,1246,1076,0
2,183606407,187238106,7317,297,150,1246,1207,0
2,187238106,191657099,8672,513,254,1246,1419,0
2,191657099,192282507,8161,470,221,1246,1335,0
2,192282507,192847735,8540,512,251,1246,1398,0
2,192847735,196460042,8590,484,225,1246,1421,0
2,196460042,196465136,6155,220,108,1246,1028,0
2,196465136,199442675,7554,317,153,1246,1268,0
2,199442675,201473674,7632,300,147,1246,1257,1
2,201473674,201476242,6793,250,122,1246,1121,1
2,201476242,203152355,8393,385,187,1246,1397,1
2,203152355,205267745,8140,359,187,1246,1360,1
2,205267745,205270712,6813,272,139,1246,1123,1
2,205270712,206260544,7328,298,152,1246,1208,1
2,206260544,207643224,7651,319,165,1246,1265,1
2,207643224,209488566,7195,252,128,1246,1194,1
2,209488566,211979437,7584,286,143,1246,1255,1
2,211979437,213241394,8806,427,217,1246,1436,1
2,213241394,214586896,9231,534,272,1246,1538,1
2,214586896,216078797,9620,569,295,1246,1598,1
2,216078797,216734787,8791,463,248,1246,1475,0
2,216734787,216736518,7148,279,147,1246,1201,0
2,216736518,217759217,8349,348,177,1246,1386,0
2,217759217,218612299,7759,338,173,1246,1259,0
2,218612299,219310483,10476,1595,778,1246,1719,0
2,219310483,220239322,10789,1865,916,1246,1777,0
2,220239322,220548822,10591,1833,895,1246,1749,0
2,220548822,221511559,10223,1359,668,1246,1714,0
2,221511559,222023493,7948,372,187,1246,1312,0
2,222023493,222945601,7859,349,174,1246,1296,0
2,222945601,222984939,6559,235,112,1246,1072,0
2,222984939,224129800,7748,308,147,1246,1258,0
2,224129800,225618741,7692,300,139,1246,1253,1
2,225618741,227418737,7234,287,140,1246,1207,1
2,227418737,228392841,7527,345,172,1246,1251,1
2,228392841,228397641,6160,268,136,1246,1029,1
2,228397641,229074950,8484,487,253,1246,1404,1
2,229074950,229827379,8431,487,251,1246,1406,0
2,229827379,229831082,8022,444,229,1246,1335,0
2,229831082,230752964,9521,632,330,1246,1574,0
2,230752964,231544844,8425,469,228,1246,1402,0
2,231544844,231546204,7264,354,178,1246,1218,0
2,231546204,232421159,8212,419,217,1246,1373,0
2,232421159,233636450,8245,375,186,1246,1381,0
2,233636450,234480032,7952,355,180,1246,1329,0
2,234480032,235062859,7381,286,141,1246,1214,0
2,235062859,235667357,6614,233,112,1246,1093,0
2,235667357,236158693,7363,302,148,1246,1223,0
2,236158693,236509701,6887,267,133,1246,1144,0
2,236509701,237497915,7879,343,166,1246,1299,0
2,237497915,237499777,6535,253,126,1246,1077,0
2,237499777,238286400,8235,438,218,1246,1387,0
2,238286400,238789858,9319,674,330,1246,1560,0
2,238789858,238791383,8716,619,306,1246,1469,0
2,238791383,239368031,9561,719,354,1246,1591,0
2,239368031,239933633,9375,664,320,1246,1549,0
2,239933633,240516749,8289,411,210,1246,1357,0
2,240516749,240997420,7133,269,143,1246,1160,0
2,240997420,241566012,8779,511,260,1246,1459,0
2,241566012,242236530,8978,689,347,1246,1492,0
2,242236530,242925648,8254,637,319,1246,1369,0
3,60661,980315,5554,204,107,1246,906,2
3,980315,1572374,7093,293,146,1246,1163,2
3,1572374,2118533,7537,319,160,1246,1243,2
3,2118533,2781075,7963,327,161,1246,1296,2
3,2781075,2986569,6817,231,116,1246,1096,0
3,2986569,3196172,7254,260,130,1246,1187,0
3,3196172,3635340,9817,812,394,1246,1616,0
3,3635340,4004427,9774,883,427,1246,1602,0
3,4004427,4527310,9812,899,437,1246,1632,0
3,4527310,5085598,9573,798,391,1246,1593,0
3,5085598,5640353,6776,266,153,1246,1150,1
3,5640353,6198319,6160,221,132,1246,1036,1
3,6198319,7042315,7160,269,147,1246,1173,1
3,7042315,7607033,7733,345,172,1246,1255,1
3,7607033,8171452,8065,377,182,1246,1291,2
3,8171452,8729551,8789,455,222,1246,1407,2
3,8729551,9089254,8256,398,203,1246,1342,2
3,9089254,9833986,7789,328,174,1246,1287,2
3,9833986,10979998,7040,248,125,1246,1151,1
3,10979998,11809955,5759,164,96,1246,940,1
3,11809955,13478364,5897,190,100,1246,976,0
3,13478364,14381907,6364,235,119,1246,1080,0
3,14381907,15215008,8871,555,273,1246,1497,1
3,15215008,16213362,9269,627,304,1246,1560,1
3,16213362,17123110,10074,749,369,1246,1673,1
3,17123110,18770646,10480,813,400,1246,1734,1
3,18770646,19927320,10273,771,383,1246,1683,0
3,19927320,21102707,9531,630,306,1246,1539,0
3,21102707,22519985,9100,522,246,1246,1464,0
3,22519985,23673194,7242,342,173,1246,1201,0
3,23673194,24638055,8108,409,204,1246,1318,0
3,24638055,25357638,8173,408,204,1246,1319,0
3,25357638,27028555,8942,449,228,1246,1457,0
3,27028555,28187390,8645,408,216,1246,1434,0
3,28187390,29031049,8556,393,208,1246,1424,0
3,29031049,29888528,8712,383,198,1246,1441,0
3,29888528,30650064,7802,289,148,1246,1273,1
3,30650064,31677395,7110,246,133,1246,1135,1
3,31677395,32709707,8169,360,191,1246,1301,1
3,32709707,34113178,8458,455,229,1246,1309,1
3,34113178,36201328,9102,537,257,1246,1415,1
3,36201328,37456007,8809,483,218,1246,1377,1
3,37456007,38811633,7954,377,175,1246,1250,0
3,38811633,41509099,8476,362,179,1246,1370,0
3,41509099,42603494,7914,347,168,1246,1283,0
3,42603494,44397370,7915,337,168,1246,1274,0
3,44397370,47185652,8501,446,238,1246,1386,0
3,47185652,52812040,7934,429,236,1246,1310,0
3,52812040,54240301,9163,610,331,1246,1490,0
3,54240301,54738032,9279,668,344,1246,1511,0
3,54738032,55408177,9411,666,336,1246,1519,0
3,55408177,56360347,8857,563,288,1246,1416,0
3,56360347,58665325,8526,455,238,1246,1348,0
3,58665325,59767786,7403,252,138,1246,1194,0
3,59767786,60395260,7249,242,128,1246,1155,0
3,60395260,60850181,6929,230,129,1246,1110,0
3,60850181,62259273,6599,206,108,1246,1057,0
3,62259273,63111960,6529,220,109,1246,1065,0
3,63111960,63972915,6848,232,122,1246,1139,0
3,63972915,64944033,7730,327,169,1246,1278,0
3,64944033,65828637,7163,294,142,1246,1189,0
3,65828637,66699352,6580,266,127,1246,1111,0
3,66699352,69126495,6927,268,119,1246,1163,0
3,69126495,70629425,6998,266,118,1246,1145,0
3,70629425,71726075,7890,339,155,1246,1272,1
3,71726075,72126047,8251,410,203,1246,1354,3
3,72126047,72613109,8676,446,223,1246,1415,5
3,72613109,73308295,8525,431,215,1246,1416,5
3,73308295,74010362,7841,348,172,1246,1321,5
3,74010362,76438363,8438,446,224,1246,1428,4
3,76438363,77571291,8581,559,282,1246,1473,4
3,77571291,78711836,8554,577,294,1246,1464,3
3,78711836,84401570,8545,531,277,1246,1446,3
3,84401570,88928699,7215,345,176,1246,1223,1
3,88928699,97850400,6458,253,129,1246,1068,0
3,97850400,101541639,6358,211,112,1246,1035,1
3,101541639,103963497,6706,240,132,1246,1105,2
3,103963497,105933211,7465,319,170,1246,1223,3
3,105933211,107120175,8153,418,209,1246,1358,3
3,107120175,108803725,7889,399,194,1246,1298,2
3,108803725,111819064,7637,322,149,1246,1251,2
3,111819064,113837515,6530,212,103,1246,1071,1
3,113837515,115608057,6828,217,113,1246,1089,1
3,115608057,116573921,6574,207,109,1246,1057,0
3,116573921,118265088,7459,258,133,1246,1210,0
3,118265088,121612456,8976,626,331,1246,1439,0
3,121612456,122445845,9024,662,345,1246,1455,0
3,122445845,123217089,9233,681,358,1246,1469,1
3,123217089,124843158,8802,469,243,1246,1379,1
3,124843158,126416924,8029,344,174,1246,1298,1
3,126416924,127270363,8525,515,251,1246,1386,0
3,127270363,128936958,9499,719,348,1246,1542,0
3,128936958,130765571,9567,760,379,1246,1573,1
3,130765571,132350462,10556,911,475,1246,1724,2
3,132350462,133116825,9652,686,367,1246,1571,2
3,133116825,133780383,9510,641,348,1246,1547,2
3,133780383,135220998,7581,302,158,1246,1238,0
3,135220998,139056584,7152,250,129,1246,1173,0
3,139056584,140759699,7785,341,177,1246,1267,0
3,140759699,141785166,8336,390,198,1246,1332,0
3,141785166,142876633,8088,353,173,1246,1276,0
3,142876633,143812677,8101,347,164,1246,1302,0
3,143812677,145661771,7579,284,135,1246,1222,1
3,145661771,147824217,9374,695,351,1246,1548,1
3,147824217,148347265,9062,688,355,1246,1473,1
3,148347265,149038238,9575,727,369,1246,1540,1
3,149038238,150243878,9103,529,268,1246,1448,1
3,150243878,151021983,8134,326,167,1246,1307,0
3,151021983,152188290,7537,288,143,1246,1225,0
3,152188290,154603275,7606,283,141,1246,1246,0
3,154603275,156955865,7045,270,121,1246,1151,0
3,156955865,159605958,6395,218,100,1246,1053,0
3,159605958,164568979,7708,322,146,1246,1258,0
3,164568979,167584211,7877,332,153,1246,1291,0
3,167584211,168942254,8147,315,138,1246,1315,0
3,168942254,170550010,8803,392,185,1246,1441,0
3,170550010,171361539,9326,454,218,1246,1515,0
3,171361539,171934541,9455,500,244,1246,1529,1
3,171934541,172298702,8551,375,182,1246,1355,1
3,172298702,173416388,8491,332,173,1246,1365,1
3,173416388,174248942,6691,197,103,1246,1059,0
3,174248942,175250534,6996,231,120,1246,1132,0
3,175250534,176625164,6703,222,117,1246,1100,0
3,176625164,177763155,6238,184,93,1246,1033,0
3,177763155,180366870,6580,201,97,1246,1074,0
3,180366870,182206748,7168,287,141,1246,1165,0
3,182206748,182884941,8339,486,230,1246,1337,1
3,182884941,183733784,8626,529,250,1246,1387,1
3,183733784,184714699,9240,565,277,1246,1464,3
3,184714699,185887105,8008,378,194,1246,1276,3
3,185887105,186160086,9256,591,319,1246,1527,3
3,186160086,186544198,9253,582,307,1246,1520,3
3,186544198,186909876,10241,804,418,1246,1676,2
3,186909876,187621684,9609,650,344,1246,1563,2
3,187621684,188031813,9115,580,307,1246,1486,1
3,188031813,188418248,8469,461,237,1246,1359,0
3,188418248,188937026,6335,195,102,1246,1000,0
3,188937026,190087933,7080,230,120,1246,1106,0
3,190087933,190678616,9350,717,372,1246,1480,0
3,190678616,191297888,9752,885,456,1246,1558,0
3,191297888,192018516,9554,865,445,1246,1528,0
3,192018516,192776867,9794,791,406,1246,1600,0
3,192776867,193679581,8226,404,209,1246,1342,0
3,193679581,193862551,8287,487,241,1246,1381,0
3,193862551,194027568,8197,477,228,1246,1378,0
3,194027568,194700478,7886,438,212,1246,1329,0
3,194700478,195611788,7032,296,145,1246,1164,0
3,195611788,196412486,6999,293,147,1246,1146,0
3,196412486,197206181,5777,208,109,1246,937,0
4,18058,1159680,6636,386,185,1246,1099,0
4,1159680,2257376,10392,1540,781,1246,1700,1
4,2257376,3319553,11499,2089,1055,1246,1884,1
4,3319553,3629934,11003,1943,989,1246,1814,1
4,3629934,4579042,9973,1093,552,1246,1652,1
4,4579042,4593893,4921,140,78,1246,826,0
4,4593893,5302955,6416,239,134,1246,1087,1
4,5302955,5748978,6233,234,131,1246,1050,1
4,5748978,5755524,5410,206,109,1246,926,1
